id,org_id,name,url,age,sex,color_primary,breed_primary,breed_mixed,house_trained,special_needs,shots_current
46042150,NV163,HARLEY,https://www.petfinder.com/dog/harley-46042150/nv/las-vegas/animal-network-nv163/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,S,M,White / Cream,American Staffordshire Terrier,1,1,0,1
46042002,NV163,BIGGIE,https://www.petfinder.com/dog/biggie-46042002/nv/las-vegas/animal-network-nv163/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,A,M,Brown / Chocolate,Pit Bull Terrier,1,1,0,1
46040898,NV99,Ziggy,https://www.petfinder.com/dog/ziggy-46040898/nv/mesquite/city-of-mesquite-animal-shelter-nv99/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,A,M,Brindle,Shepherd,0,0,0,1
46039877,NV202,Gypsy,https://www.petfinder.com/dog/gypsy-46039877/nv/pahrump/pets-are-worth-saving-paws-nv202/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,B,F,,German Shepherd Dog,0,0,0,0
46039306,NV184,Theo,https://www.petfinder.com/dog/theo-46039306/nv/henderson/wagging-tails-rescue-nv184/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Y,M,,Dachshund,0,0,0,1
46039304,NV184,Oliver,https://www.petfinder.com/dog/oliver-46039304/nv/henderson/wagging-tails-rescue-nv184/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,B,M,,Boxer,1,0,0,1
46039303,NV184,Macadamia,https://www.petfinder.com/dog/macadamia-46039303/nv/henderson/wagging-tails-rescue-nv184/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,B,F,,Italian Greyhound,1,0,0,1
46039302,NV184,Dodger,https://www.petfinder.com/dog/dodger-46039302/nv/henderson/wagging-tails-rescue-nv184/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,B,M,,Cattle Dog,1,0,0,1
46039301,NV184,Huckleberry,https://www.petfinder.com/dog/huckleberry-46039301/nv/henderson/wagging-tails-rescue-nv184/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,B,F,,Cattle Dog,1,0,0,1
46038709,NV184,Fagin,https://www.petfinder.com/dog/fagin-46038709/nv/henderson/wagging-tails-rescue-nv184/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,B,M,,Cattle Dog,1,0,0,1
46038708,NV184,Speckles,https://www.petfinder.com/dog/speckles-46038708/nv/henderson/wagging-tails-rescue-nv184/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,B,F,,Cattle Dog,1,0,0,1
46038703,NV184,Cashew,https://www.petfinder.com/dog/cashew-46038703/nv/henderson/wagging-tails-rescue-nv184/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,B,F,,Italian Greyhound,1,0,0,1
46038700,NV184,Dash,https://www.petfinder.com/dog/dash-46038700/nv/henderson/wagging-tails-rescue-nv184/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,B,M,,Cattle Dog,1,0,0,1
46038243,NV155,Sydney,https://www.petfinder.com/dog/sydney-46038243/nv/las-vegas/a-home-4-spot-nv155/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,A,F,Black,Border Collie,1,1,0,1
46038070,NV26,HENNA,https://www.petfinder.com/dog/henna-46038070/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Y,F,,Pit Bull Terrier,1,0,0,0
46038064,NV26,RUBO,https://www.petfinder.com/dog/rubo-46038064/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,A,M,,German Shepherd Dog,1,0,0,0
46038065,NV26,LEGO,https://www.petfinder.com/dog/lego-46038065/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,A,M,,Schnauzer,1,0,0,0
46038067,NV26,MARIE,https://www.petfinder.com/dog/marie-46038067/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,A,F,,Pit Bull Terrier,1,0,0,0
46038068,NV26,RINGO,https://www.petfinder.com/dog/ringo-46038068/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Y,M,,Boxer,1,0,0,0
46038060,NV26,TONY,https://www.petfinder.com/dog/tony-46038060/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Y,M,,Pit Bull Terrier,1,0,0,0
46038062,NV26,DUNCAN,https://www.petfinder.com/dog/duncan-46038062/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Y,M,,Pit Bull Terrier,1,0,0,0
